TIC ID,TOI,Previous CTOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ACWG ESM,ACWG TSM,Time Series Observations,Spectroscopy Observations,Imaging Observations,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,Planet Name,Pipeline Signal ID,Source,Detection,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM Dec err (mas/yr),Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Stellar Metallicity,Stellar Metallicity err,Stellar Mass (M_Sun),Stellar Mass (M_Sun) err,Sectors,Date TOI Alerted (UTC),Date TOI Updated (UTC),Date Modified,Comments,TOI int,planet count,Multiplanet System,Single Transit,p_mean,p_sd,r_mean,r_sd,rhat_ok,exo_r
355703913.0,111.01,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,34.5,108.1,1.0,0.0,1.0,KP,KP,13.183,0.006,,1.0,spoc,UNKNOWN,00:03:05.88,-62:28:09.54,2.894,0.024,4.911,0.025,2458326.10505,0.00046457388,2.10616073391332,3.7834607e-06,1.46734449692103,0.05736947,13.047378,0.650214,11945.1621708564,598.69,12.5432421341813,1.6839882,691.841119162531,1308.0409554393,33.85563,508.842,3.896,5380.0,,4.4337,,0.940697014331818,,0.245387,0.0875268,0.95,,"1,2,28",2018-10-22,2021-12-02,2021-12-07 12:08:34,HATS-34 b,111.0,1.0,False,False,2.106,0.0,0.237,0.163,False,0.12224450915833295
388104525.0,112.01,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,90.5,178.8,1.0,1.0,3.0,KP,KP,11.6035,0.006,,1.0,spoc,UNKNOWN,03:43:44.07,-65:11:37.61,21.126,0.032,16.543,0.043,2459307.332998,0.00045685822,2.49979959810286,4.4218152e-07,2.865171019079,0.009780298,15.991971,0.041631,14621.2059647249,38.342907,13.8516092815726,0.7051293,907.86241957557,1399.98943838575,375.26334,302.448,2.004,5650.0,,4.28867,,1.13732004165649,0.0577764,,,1.0,0.121147,"1,2,3,4,7,11,27,28,29,30,31,34,37",2019-05-07,2021-12-02,2021-12-07 12:08:34,WASP-119 b,112.0,1.0,False,False,2.5,0.0,0.112,0.0,True,0.11165723296997802
97409519.0,113.01,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,60.3,67.8,0.0,1.0,1.0,KP,KP,12.1893,0.006,,1.0,spoc,SPOC,22:10:51.44,-30:44:58.99,-0.71,0.052,-14.516,0.049,2458327.053085,0.000623,3.372877,0.000147,2.63426,0.043644,18.796923,0.230641,17163.60419,212.40587,14.201803,0.154789,615.165921,1270.187448,81.3,448.637,7.508,6050.0,,4.45061,,1.02,,,,1.17,0.16258,1,2018-09-05,2020-10-27,2021-10-29 00:00:00,WASP-124,113.0,1.0,False,False,3.373,0.0,0.123,0.005,True,0.12764759392331607
25155310.0,114.01,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,62.9,161.8,0.0,1.0,3.0,KP,KP,10.6103,0.006,,1.0,spoc,UNKNOWN,04:13:29.93,-69:13:35.73,63.134,0.045,53.433,0.039,2459363.488348,0.00052907853,3.28878776139412,5.280507e-07,3.41636017649114,0.010019712,7.610576,0.016621,6985.08917611636,15.308442,10.4354627296321,0.51484174,759.337989193928,1338.83954502472,430.25754,216.526,0.932,5800.0,,4.28004,,1.24175000190735,0.0610804,0.20683,0.0458093,1.01,0.123355,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,36,37,38,39",2019-05-07,2021-12-02,2021-12-07 12:08:34,WASP-126 b,114.0,1.0,False,False,3.289,0.0,0.077,0.0,True,0.07704542634384677
281541555.0,115.01,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,21.2,76.8,0.0,0.0,0.0,KP,KP,13.0417,0.006,,1.0,spoc,UNKNOWN,00:26:48.63,-56:18:57.97,21.46,0.027,7.316,0.024,2458329.902014,0.0007677445,4.74237847689397,7.232835e-06,2.5318097944897,0.08469697,13.397881,0.327952,12264.0798734605,302.0094,10.3896303272875,0.25180125,209.76945749602,970.633582799196,34.751255,453.808,3.894,5377.0,185.0,4.42476,2.00401,0.877584993839264,,,,0.96,,"1,2,28,29",2018-10-22,2021-10-07,2021-10-29 00:00:00,HATS-46 b,115.0,1.0,False,False,4.742,0.0,0.106,0.005,True,0.10853760333831317
238176110.0,116.01,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,116.9,250.5,1.0,0.0,3.0,KP,KP,11.0443,0.006,,1.0,spoc-s01-s36-b0A-CPKP,UNKNOWN,23:51:23.14,-70:09:10.3,96.185,0.041,-1.747,0.038,2459037.52846,0.00025644005,2.79857944060727,6.3140624e-07,2.34014356801535,0.013552006,18.286614,0.068604,16701.550251274,63.18423,11.7640752431413,0.72200364,332.556366832873,1089.14591337783,275.6213,149.942,0.5175,4920.0,,4.49371,,0.906655013561249,0.0553769,0.32,0.08,0.81,0.0958693,"1,27,28",2018-09-05,2021-12-09,2021-12-21 12:05:17,WASP-91 b,116.0,1.0,False,False,2.799,0.0,0.12,0.001,True,0.11895564246990553
322307342.0,117.01,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,40.2,44.1,0.0,0.0,1.0,KP,KP,11.7806,0.006,,1.0,spoc,UNKNOWN,01:00:01.46,-58:54:17.01,22.522,0.049,7.594,0.041,2459063.655791,0.001190335,3.58629619986471,0.00015300933,3.37109429721186,0.07846477,6.238423,0.124633,5729.32468580858,114.78426,16.4747610755407,0.9191712,1787.59559368927,1658.39152023611,32.356964,603.955,10.2025,5704.8,124.8,3.84,0.08,2.00441002845764,0.105699,-0.25,0.0707107,1.02,0.124059,"1,2,28,29",2018-09-05,2021-10-07,2021-10-29 00:00:00,HATS-68 b,117.0,1.0,False,False,3.586,0.0,0.076,0.001,True,0.07535323100709004
266980320.0,118.01,,2.0,5.0,5.0,4.0,4.0,2.0,4.0,16.2,115.8,4.0,5.0,5.0,CP,CP,9.179,0.006,,1.0,spoc,UNKNOWN,23:18:14.22,-56:54:14.35,313.918,0.039,-20.177,0.043,2459083.50855,0.00123,6.03445687781177,9.8619e-06,2.2074495679722,0.07949392,1.71179,0.05081,1575.3742210936,46.79648,4.76439594576057,0.2857246,224.023747780315,957.0,29.534899,94.1719,0.2512,5586.0,187.0,4.36763,0.270247,1.05167996883392,0.0549497,,,0.97,0.120939,"1,28",2018-09-05,2021-10-07,2021-10-29 00:00:00,HD 219666 b,118.0,1.0,False,False,6.034,0.0,0.042,0.002,True,0.04153302515339521
278683844.0,119.01,,1.0,5.0,5.0,5.0,3.0,1.0,4.0,4.3,57.2,4.0,45.0,1.0,PC,PC,9.2789,0.006,,1.0,qlp,UNKNOWN,06:36:57.22,-58:00:58.15,51.497,0.042,-205.6,0.049,2459380.426195,0.0010384,5.5411063,1.15e-05,2.481,0.396,0.532141,0.000168,490.0,0.154407,1.96744,0.122824,235.189,1090.0,43.0,66.6187,0.1003,5332.0,184.0,4.56429,0.272717,0.82,0.05,,,0.86,0.102503,"1,2,3,4,5,6,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39",2019-05-07,2021-08-19,2021-10-29 00:00:00,Some depth-aperture correlation. TFOP work in progress. Multi candidate. Centroid offset but not centered on another star.,119.0,1.0,True,False,5.541,0.0,0.023,0.001,True,0.021996671301409004
278683844.0,119.02,,4.0,5.0,5.0,5.0,3.0,4.0,4.0,2.2,38.7,4.0,45.0,1.0,PC,PC,9.2789,0.006,,2.0,qlp,UNKNOWN,06:36:57.22,-58:00:58.15,51.497,0.042,-205.6,0.049,2459375.8356,0.0017629,10.6917564,3.18e-05,2.96,0.267,0.456105,0.000175,420.0,0.160976,1.72548,0.1093,42.4314,711.0,30.0,66.6187,0.1003,5332.0,184.0,4.56429,0.272717,0.82,0.05,,,0.86,0.102503,"1,2,3,4,5,6,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39",2019-05-17,2021-08-26,2021-10-29 00:00:00,outer candidate in potential multi,119.0,2.0,True,False,10.692,0.0,0.021,0.001,True,0.019291473385290126
